spo2_percentage,day
97.547,2023-12-14
97.768,2023-12-15
,2023-12-16
97.925,2023-12-17
97.755,2023-12-18
97.345,2023-12-19
97.788,2023-12-20
97.296,2023-12-21
96.824,2023-12-22
96.429,2023-12-23
97.791,2023-12-24
97.196,2023-12-25
98.198,2023-12-26
98.09,2023-12-27
98.171,2023-12-28
97.73,2023-12-29
98.381,2023-12-30
98.053,2023-12-31
96.319,2024-01-01
97.815,2024-01-02
96.386,2024-01-03
97.234,2024-01-04
97.957,2024-01-05
98.139,2024-01-06
97.371,2024-01-07
97.512,2024-01-08
97.463,2024-01-09
96.713,2024-01-10
98.094,2024-01-11
98.028,2024-01-12
97.212,2024-01-13
,2024-01-14
97.67,2024-01-15
97.943,2024-01-16
98.209,2024-01-17
99.071,2024-01-18
